Model,Dataset Injection,Training Method,Accuracy,Precision,Recall,F1
Flan-T5-base,TFL,SFT,0.482758621,0.624018379,0.464683653,0.418741081
Flan-T5-large,NL,SFT,0.660098522,0.662229437,0.657258065,0.65852183
Flan-T5-large,CLIF,SFT,0.615763547,0.614836712,0.615675809,0.614990929
Flan-T5-base,FOL,SFT,0.487684729,0.471637247,0.472761155,0.444448202
Flan-T5-base,TFL+,SFT,0.492610837,0.569019608,0.477559607,0.45043626
Flan-T5-large,TFL+,SFT,0.541871921,0.55949912,0.535030648,0.5347048
Gemma-2-2b-it,FOL + BNF,FS,0.354679803,0.118226601,0.333333333,0.174545455
Gemma-2-2b-it,CLIF + BNF,FS,0.354679803,0.118226601,0.333333333,0.174545455
Flan-T5-large,CLINGO,SFT,0.610837438,0.615931805,0.6038972,0.601349649
Flan-T5-small,CLINGO,SFT,0.408866995,0.39543643,0.393427614,0.353069272
gemma-2-2b-it,CLINGO,ZS,0.408866995,0.469413919,0.400803854,0.357044244
gemma-2-2b-it,CLINGO,FS,0.354679803,0.118226601,0.333333333,0.174545455
Flan-T5-small,MINIFOL2,SFT,0.42364532,0.411127925,0.407777518,0.362929878
Flan-T5-small,MINIFOL3,SFT,0.408866995,0.382887701,0.394031479,0.357008908
Flan-T5-small,MINIFOL4,SFT,0.408866995,0.398319328,0.394232767,0.35658957
Flan-T5-large,MINIFOL2,SFT,0.586206897,0.589434224,0.58123604,0.581715598
Flan-T5-small,NL + CLIF,SFT,0.477832512,0.495380273,0.466287466,0.447330447
Flan-T5-large,NL + CLIF,SFT,0.640394089,0.64008029,0.638739546,0.638772952
gemma-2-2b-it,NL + CLIF,ZS,0.472906404,0.67199793,0.462021453,0.372253493
gemma-2-2b-it,NL + CLIF,FS,0.354679803,0.118226601,0.333333333,0.174545455
